starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:24 2017	1494364104	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	23	23
Tue May 09 23:08:25 2017	1494364105	0	23	24	23
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	23
Tue May 09 23:08:25 2017	1494364105	0	24	24	23
Tue May 09 23:08:25 2017	1494364105	1	22	24	22
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	23
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:24 2017	1494364104	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:24 2017	1494364104	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:24 2017	1494364104	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	1	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	24	24
Tue May 09 23:08:25 2017	1494364105	0	24	25	24
Tue May 09 23:08:25 2017	1494364105	0	25	25	24
Tue May 09 23:08:25 2017	1494364105	0	24	25	24
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:25 2017	1494364105	0	25	25	25
Tue May 09 23:08:24 2017	1494364104	0	25	25	25
