starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:27 2017	1494364107	0	124	124	124
Tue May 09 23:08:26 2017	1494364106	0	124	124	124
Tue May 09 23:08:27 2017	1494364107	0	124	124	124
Tue May 09 23:08:27 2017	1494364107	0	124	124	124
Tue May 09 23:08:28 2017	1494364108	0	124	124	124
Tue May 09 23:08:27 2017	1494364107	0	125	125	124
Tue May 09 23:08:26 2017	1494364106	1	124	125	124
Tue May 09 23:08:26 2017	1494364106	1	124	125	124
Tue May 09 23:08:26 2017	1494364106	1	124	125	124
Tue May 09 23:08:28 2017	1494364108	0	125	125	125
Tue May 09 23:08:26 2017	1494364106	1	124	125	124
Tue May 09 23:08:27 2017	1494364107	0	125	125	125
Tue May 09 23:08:27 2017	1494364107	0	125	125	125
Tue May 09 23:08:26 2017	1494364106	0	125	125	125
Tue May 09 23:08:26 2017	1494364106	0	125	125	125
Tue May 09 23:08:27 2017	1494364107	0	126	126	126
Tue May 09 23:08:27 2017	1494364107	0	126	126	126
Tue May 09 23:08:26 2017	1494364106	0	126	126	126
Tue May 09 23:08:26 2017	1494364106	0	127	127	127
Tue May 09 23:08:26 2017	1494364106	0	128	128	128
Tue May 09 23:08:27 2017	1494364107	0	128	128	128
Tue May 09 23:08:27 2017	1494364107	0	128	128	128
Tue May 09 23:08:28 2017	1494364108	0	128	128	128
Tue May 09 23:08:27 2017	1494364107	0	128	128	128
Tue May 09 23:08:26 2017	1494364106	4	124	128	124
Tue May 09 23:08:27 2017	1494364107	0	128	129	128
Tue May 09 23:08:26 2017	1494364106	1	128	129	128
Tue May 09 23:08:28 2017	1494364108	0	129	129	129
Tue May 09 23:08:26 2017	1494364106	0	129	129	129
Tue May 09 23:08:28 2017	1494364108	0	130	130	130
Tue May 09 23:08:28 2017	1494364108	0	130	130	130
Tue May 09 23:08:27 2017	1494364107	0	130	130	130
Tue May 09 23:08:26 2017	1494364106	0	130	130	130
Tue May 09 23:08:26 2017	1494364106	0	130	130	130
Tue May 09 23:08:26 2017	1494364106	0	130	130	130
Tue May 09 23:08:28 2017	1494364108	0	130	130	130
Tue May 09 23:08:27 2017	1494364107	0	131	131	131
Tue May 09 23:08:26 2017	1494364106	0	131	131	131
Tue May 09 23:08:27 2017	1494364107	0	131	131	131
Tue May 09 23:08:27 2017	1494364107	0	131	131	131
Tue May 09 23:08:27 2017	1494364107	0	131	131	131
Tue May 09 23:08:28 2017	1494364108	0	132	132	132
Tue May 09 23:08:27 2017	1494364107	0	132	132	132
Tue May 09 23:08:27 2017	1494364107	0	132	132	132
Tue May 09 23:08:26 2017	1494364106	1	131	132	131
Tue May 09 23:08:26 2017	1494364106	0	133	133	132
Tue May 09 23:08:28 2017	1494364108	0	133	133	133
Tue May 09 23:08:27 2017	1494364107	0	134	134	133
Tue May 09 23:08:26 2017	1494364106	0	134	134	134
Tue May 09 23:08:26 2017	1494364106	0	134	134	134
Tue May 09 23:08:26 2017	1494364106	0	134	134	134
Tue May 09 23:08:26 2017	1494364106	0	135	135	134
Tue May 09 23:08:27 2017	1494364107	0	135	135	135
Tue May 09 23:08:26 2017	1494364106	0	135	135	135
Tue May 09 23:08:26 2017	1494364106	0	135	135	135
Tue May 09 23:08:26 2017	1494364106	0	135	135	135
Tue May 09 23:08:26 2017	1494364106	0	136	136	136
Tue May 09 23:08:27 2017	1494364107	0	136	136	136
Tue May 09 23:08:28 2017	1494364108	0	137	137	137
Tue May 09 23:08:27 2017	1494364107	0	137	137	137
Tue May 09 23:08:27 2017	1494364107	0	137	137	137
Tue May 09 23:08:27 2017	1494364107	0	137	137	137
Tue May 09 23:08:27 2017	1494364107	0	137	137	137
Tue May 09 23:08:26 2017	1494364106	0	137	138	137
Tue May 09 23:08:27 2017	1494364107	0	138	138	138
Tue May 09 23:08:26 2017	1494364106	0	138	138	138
Tue May 09 23:08:26 2017	1494364106	0	138	138	138
Tue May 09 23:08:28 2017	1494364108	0	138	138	138
Tue May 09 23:08:26 2017	1494364106	0	138	139	138
Tue May 09 23:08:28 2017	1494364108	0	139	139	139
Tue May 09 23:08:26 2017	1494364106	0	139	139	139
Tue May 09 23:08:26 2017	1494364106	0	139	139	139
Tue May 09 23:08:26 2017	1494364106	0	139	139	139
Tue May 09 23:08:26 2017	1494364106	0	139	139	139
Tue May 09 23:08:27 2017	1494364107	0	139	139	139
Tue May 09 23:08:28 2017	1494364108	0	139	139	139
Tue May 09 23:08:26 2017	1494364106	0	140	140	140
Tue May 09 23:08:27 2017	1494364107	0	140	140	140
Tue May 09 23:08:26 2017	1494364106	4	136	140	136
Tue May 09 23:08:26 2017	1494364106	0	140	140	140
Tue May 09 23:08:26 2017	1494364106	4	136	140	136
Tue May 09 23:08:26 2017	1494364106	1	139	140	139
Tue May 09 23:08:26 2017	1494364106	1	139	140	139
Tue May 09 23:08:28 2017	1494364108	0	140	140	140
Tue May 09 23:08:26 2017	1494364106	0	141	141	141
Tue May 09 23:08:26 2017	1494364106	0	141	141	141
Tue May 09 23:08:26 2017	1494364106	0	141	141	141
Tue May 09 23:08:27 2017	1494364107	0	141	141	141
Tue May 09 23:08:26 2017	1494364106	0	141	141	141
Tue May 09 23:08:27 2017	1494364107	0	141	141	141
Tue May 09 23:08:28 2017	1494364108	0	141	141	141
Tue May 09 23:08:28 2017	1494364108	0	141	141	141
Tue May 09 23:08:27 2017	1494364107	0	141	141	141
Tue May 09 23:08:27 2017	1494364107	0	141	141	141
Tue May 09 23:08:26 2017	1494364106	0	141	141	141
Tue May 09 23:08:28 2017	1494364108	0	141	142	141
Tue May 09 23:08:27 2017	1494364107	0	142	142	142
Tue May 09 23:08:28 2017	1494364108	0	142	142	142
Tue May 09 23:08:28 2017	1494364108	0	142	142	142
Tue May 09 23:08:27 2017	1494364107	0	143	143	143
Tue May 09 23:08:26 2017	1494364106	0	144	144	144
Tue May 09 23:08:26 2017	1494364106	4	140	144	140
Tue May 09 23:08:27 2017	1494364107	0	144	144	144
Tue May 09 23:08:26 2017	1494364106	4	140	144	140
Tue May 09 23:08:28 2017	1494364108	0	144	144	144
Tue May 09 23:08:26 2017	1494364106	0	144	145	144
Tue May 09 23:08:26 2017	1494364106	0	145	145	145
Tue May 09 23:08:27 2017	1494364107	0	145	145	145
Tue May 09 23:08:26 2017	1494364106	0	146	146	146
Tue May 09 23:08:26 2017	1494364106	0	146	146	146
Tue May 09 23:08:26 2017	1494364106	0	146	147	146
Tue May 09 23:08:26 2017	1494364106	0	147	147	147
Tue May 09 23:08:27 2017	1494364107	0	147	147	147
Tue May 09 23:08:27 2017	1494364107	0	148	148	148
Tue May 09 23:08:27 2017	1494364107	0	148	148	148
Tue May 09 23:08:27 2017	1494364107	0	148	148	148
Tue May 09 23:08:26 2017	1494364106	4	145	149	145
Tue May 09 23:08:26 2017	1494364106	0	149	149	149
Tue May 09 23:08:26 2017	1494364106	0	150	150	150
Tue May 09 23:08:26 2017	1494364106	0	151	151	151
Tue May 09 23:08:26 2017	1494364106	0	151	151	151
Tue May 09 23:08:26 2017	1494364106	0	151	151	151
Tue May 09 23:08:26 2017	1494364106	0	151	151	151
Tue May 09 23:08:27 2017	1494364107	0	152	152	152
Tue May 09 23:08:26 2017	1494364106	4	148	152	148
Tue May 09 23:08:27 2017	1494364107	0	153	153	153
Tue May 09 23:08:27 2017	1494364107	0	154	154	154
Tue May 09 23:08:26 2017	1494364106	0	154	154	154
Tue May 09 23:08:26 2017	1494364106	0	154	154	154
Tue May 09 23:08:26 2017	1494364106	0	155	155	155
Tue May 09 23:08:27 2017	1494364107	0	155	155	155
Tue May 09 23:08:26 2017	1494364106	0	156	156	156
Tue May 09 23:08:28 2017	1494364108	0	156	156	156
Tue May 09 23:08:26 2017	1494364106	0	156	156	156
Tue May 09 23:08:26 2017	1494364106	0	156	156	156
Tue May 09 23:08:26 2017	1494364106	0	156	157	156
Tue May 09 23:08:26 2017	1494364106	0	157	157	157
Tue May 09 23:08:26 2017	1494364106	0	157	157	157
Tue May 09 23:08:26 2017	1494364106	1	156	158	156
Tue May 09 23:08:26 2017	1494364106	0	158	158	158
Tue May 09 23:08:26 2017	1494364106	0	158	158	158
Tue May 09 23:08:27 2017	1494364107	0	159	159	159
Tue May 09 23:08:26 2017	1494364106	0	159	159	159
Tue May 09 23:08:28 2017	1494364108	0	159	159	159
Tue May 09 23:08:26 2017	1494364106	0	159	159	159
Tue May 09 23:08:27 2017	1494364107	0	160	160	160
Tue May 09 23:08:27 2017	1494364107	0	160	160	160
Tue May 09 23:08:28 2017	1494364108	0	160	160	160
Tue May 09 23:08:26 2017	1494364106	0	161	161	161
Tue May 09 23:08:26 2017	1494364106	0	161	161	161
Tue May 09 23:08:26 2017	1494364106	0	161	161	161
Tue May 09 23:08:27 2017	1494364107	0	162	162	162
Tue May 09 23:08:27 2017	1494364107	0	162	162	162
Tue May 09 23:08:26 2017	1494364106	0	163	163	163
Tue May 09 23:08:26 2017	1494364106	0	164	164	164
Tue May 09 23:08:27 2017	1494364107	0	165	165	165
Tue May 09 23:08:26 2017	1494364106	0	165	165	165
Tue May 09 23:08:27 2017	1494364107	0	165	165	165
Tue May 09 23:08:26 2017	1494364106	0	165	165	165
Tue May 09 23:08:26 2017	1494364106	0	166	166	166
Tue May 09 23:08:26 2017	1494364106	0	166	166	166
Tue May 09 23:08:26 2017	1494364106	0	168	168	167
Tue May 09 23:08:26 2017	1494364106	0	168	168	168
Tue May 09 23:08:26 2017	1494364106	0	168	168	168
Tue May 09 23:08:26 2017	1494364106	0	169	169	169
Tue May 09 23:08:27 2017	1494364107	0	169	169	169
Tue May 09 23:08:26 2017	1494364106	1	169	170	169
Tue May 09 23:08:26 2017	1494364106	4	166	170	166
Tue May 09 23:08:27 2017	1494364107	0	171	171	171
Tue May 09 23:08:27 2017	1494364107	0	171	171	171
Tue May 09 23:08:27 2017	1494364107	0	172	172	172
Tue May 09 23:08:26 2017	1494364106	4	168	173	168
Tue May 09 23:08:26 2017	1494364106	0	173	174	173
Tue May 09 23:08:26 2017	1494364106	0	174	174	174
Tue May 09 23:08:26 2017	1494364106	0	174	174	174
Tue May 09 23:08:26 2017	1494364106	0	174	174	174
Tue May 09 23:08:26 2017	1494364106	0	175	175	175
Tue May 09 23:08:26 2017	1494364106	0	175	175	175
Tue May 09 23:08:26 2017	1494364106	0	177	177	177
Tue May 09 23:08:26 2017	1494364106	0	178	178	178
Tue May 09 23:08:27 2017	1494364107	0	178	178	178
Tue May 09 23:08:26 2017	1494364106	0	179	179	179
Tue May 09 23:08:27 2017	1494364107	0	179	179	179
Tue May 09 23:08:26 2017	1494364106	0	179	179	179
Tue May 09 23:08:27 2017	1494364107	0	179	179	179
Tue May 09 23:08:26 2017	1494364106	1	179	180	179
Tue May 09 23:08:26 2017	1494364106	0	182	182	182
Tue May 09 23:08:26 2017	1494364106	0	182	182	182
Tue May 09 23:08:26 2017	1494364106	0	182	183	182
Tue May 09 23:08:26 2017	1494364106	4	179	183	179
Tue May 09 23:08:26 2017	1494364106	0	184	184	184
Tue May 09 23:08:26 2017	1494364106	0	187	187	187
Tue May 09 23:08:26 2017	1494364106	4	184	188	184
Tue May 09 23:08:26 2017	1494364106	0	188	188	188
Tue May 09 23:08:26 2017	1494364106	1	187	188	187
Tue May 09 23:08:26 2017	1494364106	0	189	189	189
Tue May 09 23:08:26 2017	1494364106	0	189	190	189
Tue May 09 23:08:26 2017	1494364106	0	190	190	190
Tue May 09 23:08:26 2017	1494364106	0	190	190	190
Tue May 09 23:08:26 2017	1494364106	0	191	191	191
Tue May 09 23:08:26 2017	1494364106	0	193	193	193
Tue May 09 23:08:26 2017	1494364106	0	194	194	194
Tue May 09 23:08:26 2017	1494364106	0	194	194	194
Tue May 09 23:08:26 2017	1494364106	0	196	196	196
Tue May 09 23:08:26 2017	1494364106	0	197	197	197
Tue May 09 23:08:26 2017	1494364106	0	198	198	198
Tue May 09 23:08:26 2017	1494364106	0	198	198	198
Tue May 09 23:08:26 2017	1494364106	0	199	199	199
Tue May 09 23:08:26 2017	1494364106	0	200	200	200
Tue May 09 23:08:27 2017	1494364107	0	201	201	201
Tue May 09 23:08:26 2017	1494364106	0	201	201	201
Tue May 09 23:08:26 2017	1494364106	0	201	201	201
Tue May 09 23:08:26 2017	1494364106	0	201	201	201
Tue May 09 23:08:26 2017	1494364106	0	201	202	201
Tue May 09 23:08:26 2017	1494364106	0	203	203	203
Tue May 09 23:08:26 2017	1494364106	0	204	204	204
Tue May 09 23:08:26 2017	1494364106	0	206	206	206
Tue May 09 23:08:26 2017	1494364106	0	207	207	207
Tue May 09 23:08:26 2017	1494364106	0	209	209	209
Tue May 09 23:08:26 2017	1494364106	0	211	211	211
Tue May 09 23:08:26 2017	1494364106	0	211	211	211
Tue May 09 23:08:26 2017	1494364106	0	213	213	213
Tue May 09 23:08:26 2017	1494364106	0	214	214	214
Tue May 09 23:08:26 2017	1494364106	0	214	214	214
Tue May 09 23:08:26 2017	1494364106	0	215	215	215
Tue May 09 23:08:26 2017	1494364106	0	216	216	216
Tue May 09 23:08:26 2017	1494364106	1	216	217	216
Tue May 09 23:08:26 2017	1494364106	0	218	218	218
Tue May 09 23:08:26 2017	1494364106	0	220	220	220
Tue May 09 23:08:26 2017	1494364106	0	223	223	223
Tue May 09 23:08:26 2017	1494364106	0	223	223	223
Tue May 09 23:08:26 2017	1494364106	1	225	226	225
Tue May 09 23:08:26 2017	1494364106	0	227	227	226
Tue May 09 23:08:26 2017	1494364106	0	227	227	227
Tue May 09 23:08:26 2017	1494364106	0	232	232	232
Tue May 09 23:08:26 2017	1494364106	0	233	233	232
Tue May 09 23:08:26 2017	1494364106	0	233	233	233
Tue May 09 23:08:26 2017	1494364106	0	234	234	234
Tue May 09 23:08:26 2017	1494364106	0	235	235	235
Tue May 09 23:08:26 2017	1494364106	0	238	238	238
Tue May 09 23:08:26 2017	1494364106	0	250	251	250
Tue May 09 23:08:26 2017	1494364106	0	261	261	261
Tue May 09 23:08:26 2017	1494364106	0	262	262	262
Tue May 09 23:08:26 2017	1494364106	1	262	263	261
Tue May 09 23:08:26 2017	1494364106	0	267	267	267
Tue May 09 23:08:26 2017	1494364106	0	274	274	274
Tue May 09 23:08:26 2017	1494364106	0	276	276	276
Tue May 09 23:08:26 2017	1494364106	0	283	283	283
Tue May 09 23:08:26 2017	1494364106	0	286	286	286
Tue May 09 23:08:26 2017	1494364106	0	289	289	289
Tue May 09 23:08:26 2017	1494364106	0	294	294	293
Tue May 09 23:08:26 2017	1494364106	0	297	297	297
Tue May 09 23:08:26 2017	1494364106	0	298	298	298
Tue May 09 23:08:26 2017	1494364106	0	321	322	321
Tue May 09 23:08:26 2017	1494364106	0	337	337	337
